Section 1 (Committers),,,,

dev.eclise.org Login,,,,
khussey,,,,

Section 2 (Developers),,,,

Component,Bug #,Contributor,Size,Committer
org.eclipse.uml2.uml,80307,James Bruck,607,khussey
org.eclipse.uml2.uml,80307,James Bruck,561,khussey
org.eclipse.uml2.uml,80307,James Bruck,141,khussey
org.eclipse.uml2.uml,80307,James Bruck,119,khussey
org.eclipse.uml2.uml,80307,James Bruck,108,khussey
org.eclipse.uml2.uml,80307,James Bruck,122,khussey
org.eclipse.uml2.uml,139765,James Bruck,39,khussey
org.eclipse.uml2.uml,140590,James Bruck,65,khussey
org.eclipse.uml2.uml,141575,James Bruck,20,khussey
uml2,77413,James Bruck,19642,khussey
org.eclipse.uml2.uml,144311,James Bruck,49,khussey
uml2,77413,James Bruck,12144,khussey
uml2,77413,James Bruck,15359,khussey
org.eclipse.uml2.uml,152592,James Bruck,1,khussey
org.eclipse.uml2.uml,157714,James Bruck,153,khussey
org.eclipse.uml2.uml,157715,James Bruck,53,khussey
org.eclipse.uml2.uml.ecore.importer,160319,James Bruck,8,khussey
org.eclipse.uml2.uml,159855,James Bruck,23,khussey
org.eclipse.uml2.uml.editor,159855,James Bruck,41,khussey
org.eclipse.uml2.uml.resources,150154,James Bruck,396,khussey
org.eclipse.uml2.examples.uml.ui,150154,James Bruck,119,khussey
org.eclipse.uml2.uml.editor,150154,James Bruck,177,khussey
org.eclipse.uml2.uml,150154,James Bruck,90,khussey
org.eclipse.uml2.uml,166843,Ed Merks,5,khussey
org.eclipse.uml2.uml.ecore.importer,160680,James Bruck,596,khussey
org.eclipse.uml2.uml.ecore.importer,160680,James Bruck,217,khussey
org.eclipse.uml2.uml,173843,James Bruck,9,khussey
org.eclipse.uml2.examples.uml.ui,160679,James Bruck,101,khussey
org.eclipse.uml2.uml,160679,James Bruck,948,khussey
org.eclipse.uml2.uml.resources,160679,James Bruck,412,khussey
org.eclipse.uml2.uml,173726,James Bruck,6954,khussey
org.eclipse.uml2.uml,155535,James Bruck,224,khussey
org.eclipse.uml2.examples.uml.ui,105199,James Bruck,48,khussey
org.eclipse.uml2.uml.ecore.exporter,105199,James Bruck,8,khussey
org.eclipse.uml2.uml.ecore.importer,105199,James Bruck,29,khussey
org.eclipse.uml2.uml,105199,James Bruck,394,khussey
org.eclipse.uml2.examples.uml.ui,163556,James Bruck,197,khussey
org.eclipse.uml2.uml.ecore.exporter,163556,James Bruck,2,khussey
org.eclipse.uml2.uml.editor,163556,James Bruck,244,khussey
org.eclipse.uml2.uml.ecore.importer,163556,James Bruck,11,khussey
org.eclipse.uml2.uml,163556,James Bruck,32,khussey
org.eclipse.uml2.uml.editor,176996,James Bruck,4,khussey
org.eclipse.uml2.uml.editor,176995,James Bruck,103,khussey
org.eclipse.uml2.codegen.ecore,105199,James Bruck,120,khussey
org.eclipse.uml2.codegen.ecore,160679,Ed Merks,282,khussey
org.eclipse.uml2.uml.resources,187120,James Bruck,2,khussey
org.eclipse.uml2.examples.uml.ui,187120,James Bruck,4,khussey
org.eclipse.uml2.uml,183817,James Bruck,32,khussey
org.eclipse.uml2.uml.ecore.exporter,183817,James Bruck,48,khussey
org.eclipse.uml2.uml.ecore.exporter,172503,James Bruck,17,khussey
org.eclipse.uml2.uml.ecore.importer,172503,James Bruck,9,khussey
org.eclipse.uml2.uml,178250,James Bruck,144,khussey
org.eclipse.uml2.uml.ecore.exporter,172503,James Bruck,2,khussey
org.eclipse.uml2.uml,186917,James Bruck,248,khussey
org.eclipse.uml2.uml,191053,James Bruck,470,khussey
org.eclipse.uml2-feature,191053,James Bruck,1,khussey
org.eclipse.uml2.sdk-feature,191053,James Bruck,1,khussey
org.eclipse.uml2.common,193276,John Yeung,2,khussey
org.eclipse.uml2.common,195417,James Bruck,11,khussey
org.eclipse.uml2.uml,196070,James Bruck,31,khussey
org.eclipse.uml2.examples.uml.ui,220558,Christian Damus,12,jbruck
org.eclipse.uml2.codegen.ecore,242726,Lutz Wrage,1,jbruck
org.eclipse.uml2.codegen.ecore,241411,Lutz Wrage,1,jbruck
org.eclipse.uml2.uml,260120,Nicolas Rouquette,14,khussey
org.eclipse.uml2.uml,282440,Sergey Boyko,1,khussey
org.eclipse.uml2.uml,313837,Nicolas Rouquette,3,khussey
org.eclipse.uml2.common,343783,Keith Campbell,3,khussey
org.eclipse.uml2.codegen.ecore,284810,John Timm,2,khussey
org.eclipse.uml2.uml,350402,Yann Tanguy,12,khussey
org.eclipse.uml2.uml,373643,Christian Damus,633,khussey
org.eclipse.uml2.uml.tests,373643,Christian Damus,351,khussey
org.eclipse.uml2.uml,374012,Christian Damus,5,khussey
org.eclipse.uml2.uml,374537,Christian Damus,65,khussey
org.eclipse.uml2.uml,374691,Christian Damus,6,khussey


Section 3 (Third Party Software),,,,

Name,Location,License,Usage,
